example_id                                                    | status | run_time        |
./spec/requests/authentication/profiles_spec.rb[1:2:2:2]      | passed | 0.00718 seconds |
./spec/requests/authentication/profiles_spec.rb[1:2:2:3:1]    | passed | 0.00895 seconds |
./spec/requests/authentication/profiles_spec.rb[1:2:2:3:2]    | passed | 0.00839 seconds |
./spec/requests/authentication/profiles_spec.rb[1:2:2:3:3]    | passed | 0.01138 seconds |
./spec/requests/authentication/profiles_spec.rb[1:2:2:4:1]    | passed | 0.00789 seconds |
./spec/requests/authentication/registrations_spec.rb[1:1:1]   | passed | 0.00255 seconds |
./spec/requests/authentication/registrations_spec.rb[1:1:2]   | passed | 0.00592 seconds |
./spec/requests/authentication/registrations_spec.rb[1:2:1:1] | passed | 0.00403 seconds |
./spec/requests/authentication/registrations_spec.rb[1:2:1:2] | passed | 0.00394 seconds |
./spec/requests/authentication/registrations_spec.rb[1:2:1:3] | passed | 0.00531 seconds |
./spec/requests/authentication/registrations_spec.rb[1:2:1:4] | passed | 0.0032 seconds  |
./spec/requests/authentication/registrations_spec.rb[1:2:1:5] | passed | 0.0045 seconds  |
./spec/requests/authentication/registrations_spec.rb[1:2:2:1] | passed | 0.00335 seconds |
./spec/requests/authentication/registrations_spec.rb[1:2:2:2] | passed | 0.00329 seconds |
./spec/requests/authentication/registrations_spec.rb[1:2:2:3] | passed | 0.00356 seconds |
./spec/requests/authentication/registrations_spec.rb[1:2:2:4] | passed | 0.00658 seconds |
./spec/requests/authentication/sessions_spec.rb[1:1:1]        | passed | 0.00172 seconds |
./spec/requests/authentication/sessions_spec.rb[1:1:2]        | passed | 0.00592 seconds |
./spec/requests/authentication/sessions_spec.rb[1:2:1:1]      | passed | 0.00527 seconds |
./spec/requests/authentication/sessions_spec.rb[1:2:1:2]      | passed | 0.00515 seconds |
./spec/requests/authentication/sessions_spec.rb[1:2:1:3]      | passed | 0.00609 seconds |
./spec/requests/authentication/sessions_spec.rb[1:2:2:1]      | passed | 0.00586 seconds |
./spec/requests/authentication/sessions_spec.rb[1:2:2:2]      | passed | 0.0056 seconds  |
./spec/requests/authentication/sessions_spec.rb[1:2:2:3]      | passed | 0.00807 seconds |
./spec/requests/authentication/sessions_spec.rb[1:2:3:1]      | passed | 0.00597 seconds |
./spec/requests/authentication/sessions_spec.rb[1:2:3:2]      | passed | 0.00626 seconds |
./spec/requests/authentication/sessions_spec.rb[1:2:3:3]      | passed | 0.01173 seconds |
./spec/requests/authentication/sessions_spec.rb[1:2:4:1]      | passed | 0.01971 seconds |
./spec/requests/authentication/sessions_spec.rb[1:2:5:1]      | passed | 0.00272 seconds |
./spec/requests/authentication/sessions_spec.rb[1:3:1]        | passed | 0.00529 seconds |
./spec/requests/authentication/verifications_spec.rb[1:1:1:1] | passed | 0.00644 seconds |
./spec/requests/authentication/verifications_spec.rb[1:1:1:2] | passed | 0.00699 seconds |
./spec/requests/authentication/verifications_spec.rb[1:1:1:3] | passed | 0.00679 seconds |
./spec/requests/authentication/verifications_spec.rb[1:1:1:4] | passed | 0.00592 seconds |
./spec/requests/authentication/verifications_spec.rb[1:1:2:1] | passed | 0.00406 seconds |
./spec/requests/authentication/verifications_spec.rb[1:1:2:2] | passed | 0.00615 seconds |
./spec/requests/authentication/verifications_spec.rb[1:1:3:1] | passed | 0.02318 seconds |
./spec/requests/authentication/verifications_spec.rb[1:1:4:1] | passed | 0.08839 seconds |
./spec/requests/shelters/dashboard_spec.rb[1:1:1]             | passed | 0.00217 seconds |
./spec/requests/shelters/dashboard_spec.rb[1:1:2]             | passed | 0.01226 seconds |
./spec/requests/shelters/dashboard_spec.rb[1:1:3]             | passed | 0.00773 seconds |
./spec/requests/shelters/invitations_spec.rb[1:1:1]           | passed | 0.01718 seconds |
./spec/requests/shelters/invitations_spec.rb[1:1:2]           | passed | 0.01444 seconds |
./spec/requests/shelters/invitations_spec.rb[1:1:3]           | passed | 0.01056 seconds |
./spec/requests/shelters/invitations_spec.rb[1:1:4]           | passed | 0.0077 seconds  |
./spec/requests/shelters/invitations_spec.rb[1:1:5]           | passed | 0.00225 seconds |
./spec/requests/shelters/policies_spec.rb[1:1:1]              | passed | 0.00902 seconds |
./spec/requests/shelters/policies_spec.rb[1:1:2]              | passed | 0.01241 seconds |
./spec/requests/shelters/policies_spec.rb[1:2:1]              | passed | 0.01 seconds    |
./spec/requests/shelters/policies_spec.rb[1:2:2]              | passed | 0.01227 seconds |
./spec/requests/shelters/shelters_spec.rb[1:1:1]              | passed | 0.00527 seconds |
./spec/requests/shelters/shelters_spec.rb[1:1:2]              | passed | 0.00656 seconds |
./spec/requests/shelters/shelters_spec.rb[1:1:3]              | passed | 0.00309 seconds |
./spec/requests/shelters/shelters_spec.rb[1:1:4]              | passed | 0.0041 seconds  |
./spec/requests/shelters/shelters_spec.rb[1:1:5]              | passed | 0.00478 seconds |
./spec/requests/shelters/shelters_spec.rb[1:1:6]              | passed | 0.00565 seconds |
./spec/requests/shelters/shelters_spec.rb[1:2:1]              | passed | 0.01441 seconds |
./spec/requests/shelters/shelters_spec.rb[1:2:2]              | passed | 0.07631 seconds |
./spec/requests/shelters/shelters_spec.rb[1:3:1]              | passed | 0.00131 seconds |
./spec/requests/shelters/shelters_spec.rb[1:3:2]              | passed | 0.01014 seconds |
./spec/requests/shelters/shelters_spec.rb[1:3:3]              | passed | 0.00755 seconds |
./spec/requests/shelters/shelters_spec.rb[1:4:1]              | passed | 0.01133 seconds |
./spec/requests/shelters/shelters_spec.rb[1:4:2]              | passed | 0.01219 seconds |
./spec/requests/shelters/shelters_spec.rb[1:4:3]              | passed | 0.01043 seconds |
./spec/requests/shelters/shelters_spec.rb[1:4:4]              | passed | 0.01126 seconds |
./spec/requests/shelters/shelters_spec.rb[1:5:1]              | passed | 0.00931 seconds |
./spec/requests/shelters/shelters_spec.rb[1:5:2]              | passed | 0.00941 seconds |
